setting,dataset,sample_id,candidate,psnr,ssim,vccrp
structure_only,compound_proxy,000004_jung_005_v00,docres_classical040_blend_0.95,15.5238391712668,0.4730163812637329,0.09048449557804006
structure_only,compound_proxy,000004_jung_005_v01,docres_classical040_blend_0.90,16.81975232327141,0.48715129494667053,0.6081337240034235
structure_only,compound_proxy,000005_jung_006_v00,classical_shadow_0.40,21.963546739754037,0.9600828289985657,0.08721647275759514
structure_only,compound_proxy,000005_jung_006_v01,docres_classical040_blend_0.70,20.248213077392823,0.747131884098053,0.2718286656774257
structure_only,compound_proxy,000013_jung_014_v00,docres_classical040_blend_0.95,16.494341073961177,0.5168617963790894,0.7068062842575586
structure_only,compound_proxy,000013_jung_014_v01,docres_classical040_blend_0.70,16.942845655058253,0.9326483607292175,0.06842460164196995
structure_only,compound_proxy,000016_jung_017_v00,classical_shadow_0.40,17.312870775055874,0.4676584005355835,0.1749014742674463
structure_only,compound_proxy,000016_jung_017_v01,docres_classical040_blend_0.70,29.08083805031829,0.9949883818626404,0.09536455108744613
structure_only,compound_proxy,000023_jung_024_v00,docres_classical040_blend_0.70,20.80795269629536,0.9872657060623169,0.04416467843433258
structure_only,compound_proxy,000023_jung_024_v01,docres_input_blend_0.80,19.177435414437596,0.6348728537559509,0.10986705826074761
structure_only,compound_proxy,000025_jung_026_v00,docres_input_blend_0.70,18.81233912724546,0.7591919898986816,0.11974399053957407
structure_only,compound_proxy,000025_jung_026_v01,docres_input_blend_0.70,25.393143681495545,0.9169530272483826,0.46030866644556323
structure_only,compound_proxy,000030_jung_031_v00,docres_classical040_blend_0.90,24.767116168264995,0.8610636591911316,0.3924651440544452
structure_only,compound_proxy,000030_jung_031_v01,docres_classical040_blend_0.70,25.480382615020886,0.9891568422317505,0.11494880549095743
structure_only,compound_proxy,000031_jung_032_v00,classical_shadow_0.40,22.49922346094474,0.9907900094985962,0.2187193943932153
structure_only,compound_proxy,000031_jung_032_v01,docres_input_blend_0.70,30.676644413623514,0.994358241558075,0.13877264577395132
structure_only,compound_proxy,000037_jung_038_v00,docres_input_blend_0.80,18.85890248452347,0.5322329998016357,0.9484045290853829
structure_only,compound_proxy,000037_jung_038_v01,docres_classical040_blend_0.90,22.748854297056052,0.7169021964073181,0.8981185658682785
structure_only,compound_proxy,000038_jung_039_v00,binary_docres_blend_0.75,15.71264227053593,0.7264304161071777,0.8319472972317025
structure_only,compound_proxy,000038_jung_039_v01,docres_classical040_blend_0.70,22.984874424480893,0.7478330731391907,0.7847533632384494
structure_only,compound_proxy,000043_jung_044_v00,docres_classical040_blend_0.90,20.290490767594925,0.5112611651420593,0.555730478729304
structure_only,compound_proxy,000043_jung_044_v01,docres_input_blend_0.70,20.262526527914044,0.6922286152839661,1.0
structure_only,compound_proxy,000046_jung_047_v00,classical_shadow_0.40,18.59560916153212,0.5597224235534668,0.030112524485564784
structure_only,compound_proxy,000046_jung_047_v01,docres_input_blend_0.70,21.106890407568855,0.5992380976676941,0.35064935908247585
structure_only,compound_proxy,000050_jung_051_v00,docres_input_blend_0.80,22.373383297955574,0.9042742848396301,0.6395447497106543
structure_only,compound_proxy,000050_jung_051_v01,docres_classical040_blend_0.70,19.577453586184493,0.7033208012580872,0.7410440123203621
structure_only,compound_proxy,000051_jung_052_v00,classical_shadow_0.40,18.447216706825113,0.5622367858886719,0.04489415003082431
structure_only,compound_proxy,000051_jung_052_v01,docres_classical040_blend_0.95,14.051581855673373,0.5252028107643127,0.15086196145121722
structure_only,compound_proxy,000057_jung_058_v00,docres_classical040_blend_0.70,18.907606048304128,0.5994526147842407,0.03956343795481454
