sample_id,region_minus_docres_psnr,region_minus_classical_psnr,region_risk_minus_docres,oracle_candidate,noise,mean_alpha
mixeddoc_01129,-1.756950527939189,4.806019312887685,-0.02327671260972755,docres_deshadow,"['shadow', 'textWatermark']",0.8031472563743591
mixeddoc_01130,-0.15151528221418076,0.38567874682861714,-0.010692329493158792,docres_deshadow,"['seal', 'textWatermark']",0.8075073957443237
mixeddoc_01131,-1.2190759525223847,4.710384958951803,-0.025700703682690534,docres_deshadow,"['seal', 'GaussianBlur', 'shadow', 'textWatermark']",0.8017752766609192
mixeddoc_01132,0.023546953115062053,0.01335598486684475,-0.006641911446209483,docres_input_blend_0.80,"['seal', 'shadow', 'textWatermark']",0.7930542826652527
mixeddoc_01133,-1.9633928154510283,1.7658400028475683,-0.10220641760892618,docres_deshadow,"['seal', 'shadow', 'textWatermark']",0.7985312938690186
mixeddoc_01134,-0.305750161144271,1.5300361548998502,-0.009278377858342967,docres_deshadow,"['shadow', 'textWatermark']",0.8024364709854126
mixeddoc_01135,-0.2218397048944265,0.48796123042098927,-0.037709672196795135,docres_deshadow,"['MotionBlur', 'shadow', 'seal', 'ShotNoise']",0.770784318447113
mixeddoc_01136,-0.07451846413547614,0.33593343190432634,-0.007035816362216625,docres_deshadow,"['shadow', 'seal', 'textWatermark', 'MotionBlur']",0.7941880226135254
mixeddoc_01137,0.015115972102151431,0.28032613611661006,-0.023192909745246085,docres_input_blend_0.80,"['MotionBlur', 'seal', 'textWatermark']",0.7940362095832825
mixeddoc_01138,-0.19063107413390767,0.47085921703483535,-0.06506696569594467,docres_deshadow,"['shadow', 'seal', 'textWatermark', 'ZoomBlur', 'GaussianNoise']",0.8153632879257202
mixeddoc_01139,0.06576191099976114,-0.7463591028687517,-0.004703389465317226,classical_shadow_0.40,['seal'],0.8214945793151855
mixeddoc_01140,-1.1650805071734176,3.9673836228109707,-0.027431494682487595,docres_deshadow,"['textWatermark', 'shadow']",0.8086215257644653
mixeddoc_01141,-0.656941159843214,2.2559100081131227,-0.0278434000840255,docres_deshadow,"['textWatermark', 'shadow', 'GaussianBlur', 'seal']",0.7873245477676392
mixeddoc_01142,0.39278746746143867,-0.2660465450408367,-0.005973079009820231,classical_shadow_0.40,['seal'],0.8084181547164917
