dataset,sample_id,method,psnr,ssim,edge_jaccard,edge_keep,foreground_shift,mean_shift,contrast_shift,contrast_after,sharp_after,content_risk
mixeddoc,mixeddoc_00000,classical_shadow_0.40,21.678461300688888,0.8642014861106873,0.9974364138910213,0.9987714987714987,0.0006456293072179905,0.0014155838614008903,0.0008317667139653999,45.874817672612124,5281.740188203284,0.0028645366291979862
mixeddoc,mixeddoc_00000,docres_deshadow,21.935380426457925,0.86641526222229,0.9457369877520625,0.9711760607282995,0.00328436706565107,0.0019595468219932295,0.01121280296588344,43.227653428373024,4261.499233154528,0.035214223085550306
mixeddoc,mixeddoc_00000,docres_input_blend_0.90,21.94898298449018,0.8661804795265198,0.9508660683728148,0.9733396897576002,0.002997823721436344,0.002290462068033633,0.010299084817101381,43.46065155631245,4352.271086899334,0.03220372867114395
mixeddoc,mixeddoc_00000,docres_input_blend_0.80,21.961621517440015,0.866207480430603,0.9571377266841957,0.9773552385492684,0.0025154153064925644,0.002083765388636373,0.009206574995053222,43.73924156093473,4447.110087154942,0.02816088945109097
mixeddoc,mixeddoc_00000,region_controller,21.917677521915323,0.8657718300819397,0.9588086298712197,0.9786570831346951,0.002187159956474429,0.0032656695612594574,0.008436691327958993,43.93556189604376,4489.675486825029,0.02709155913570473
mixeddoc,mixeddoc_00001,classical_shadow_0.40,18.492554148449404,0.759971559047699,0.7753521126512372,0.9450275057547501,0.0027078853046594983,0.007946257642842123,0.015088754131885906,27.988434545810602,18.73951254479002,0.11603119014787117
mixeddoc,mixeddoc_00001,docres_deshadow,18.430176620424778,0.7611151933670044,0.6464996203296431,0.8304787171784168,0.009082437275985664,0.0040918265514091326,0.007814704835379509,26.13355197520147,17.156510590097117,0.1744831616494376
mixeddoc,mixeddoc_00001,docres_input_blend_0.90,18.44191866554582,0.7606508135795593,0.6639642416564746,0.8403495766844836,0.00828494623655914,0.003733747979478552,0.006970165166911942,25.91819435974224,16.87261452984609,0.16517663578308417
mixeddoc,mixeddoc_00001,docres_input_blend_0.80,18.450029990586636,0.7599173784255981,0.6899444864783641,0.8534196870976551,0.0070304659498207885,0.0034251106894370264,0.006131186574178919,25.70425481859532,16.44952133101772,0.1516042032548391
mixeddoc,mixeddoc_00001,region_controller,18.44621920710296,0.7592849731445312,0.6908306839783804,0.8562678007100777,0.007331541218637993,0.004008735680652169,0.006364372379129128,25.763717198857623,16.3324299316684,0.15187985112810515
mixeddoc,mixeddoc_00002,classical_shadow_0.40,14.279627752479989,0.6864491105079651,0.8736908704079681,0.9323804051142077,0.019445054945054944,0.10882764490411552,0.11819438559359133,80.15201236218272,4310.054094706746,0.1907318525792703
mixeddoc,mixeddoc_00002,docres_deshadow,19.38012939881666,0.7776839137077332,0.8314499695552512,0.9026863956328114,0.024102564102564103,0.009397945845004566,0.05098925434091777,97.28932083161448,3296.7094667515694,0.13430280874525355
mixeddoc,mixeddoc_00002,docres_input_blend_0.90,19.809631048554234,0.7856122851371765,0.8475281873260722,0.912483838528947,0.021723443223443224,0.00800242045536156,0.045846354723464704,98.600760234065,3393.235375643438,0.12104453994293421
mixeddoc,mixeddoc_00002,docres_input_blend_0.80,20.203825936435997,0.7938648462295532,0.861155116386151,0.9214767993104439,0.019166666666666665,0.007645105221575709,0.04157730570900322,99.68936773275269,3493.5666749675424,0.1096512898069309
mixeddoc,mixeddoc_00002,region_controller,20.230317843697474,0.798002302646637,0.8671372950426781,0.9246516305128574,0.01765201465201465,0.010634123392946893,0.041461579626016765,99.71887788391423,3537.683188986002,0.10657082901559832
mixeddoc,mixeddoc_00003,classical_shadow_0.40,14.5834343810046,0.44062671065330505,0.9563397217903806,0.9744733956056423,0.03320973782771536,0.02602827348167738,0.025980608134669163,54.87397155918914,11355.190571866346,0.07885653729551653
mixeddoc,mixeddoc_00003,docres_deshadow,19.19982650709636,0.5236411094665527,0.5149522756099371,0.5704572098475967,0.12332397003745318,0.056961063376661514,0.038825165941196414,51.59860931852469,8694.399973751122,0.387674970928364
mixeddoc,mixeddoc_00003,docres_input_blend_0.90,18.697565966340587,0.5174450874328613,0.538943334542927,0.5935408236584351,0.11800187265917603,0.051203201880003005,0.038037443941653676,51.79947842840809,8857.454948605482,0.3687811192318523
mixeddoc,mixeddoc_00003,docres_input_blend_0.80,18.12575121836645,0.50963294506073,0.5681890328863664,0.6227281322089022,0.11180524344569288,0.045553418520966504,0.036410826863776884,52.21426578326667,9055.57603064763,0.34618804217348076
mixeddoc,mixeddoc_00003,region_controller,17.758782938565293,0.50609290599823,0.5793186760046987,0.6347464357296827,0.10544756554307116,0.04086820885657637,0.0349316669100936,52.591451571455906,9150.317436358342,0.3320604450296435
mixeddoc,mixeddoc_00004,classical_shadow_0.40,11.710964880484699,0.8224040269851685,0.9643919856932059,0.9772104826754441,0.028472527472527473,0.1388368383250737,0.08218703182453559,41.40552534435532,1336.364066860253,0.14934308833533563
mixeddoc,mixeddoc_00004,docres_deshadow,21.366596904328393,0.8682589530944824,0.7474815578498556,0.9471092238498455,0.6403717948717949,0.30390425195719317,0.10898553584381059,34.571906819440194,2965.4885268637827,0.5290246204738513
mixeddoc,mixeddoc_00004,docres_input_blend_0.90,19.26552594923207,0.8685241341590881,0.8045411984847518,0.9499484911681199,0.6397106227106227,0.27337603246426784,0.1081258957111516,34.791115053268236,2755.6017740247116,0.5028319981085526
mixeddoc,mixeddoc_00004,docres_input_blend_0.80,17.188167323468203,0.866070568561554,0.8295993530014732,0.9536671775672756,0.6388205128205128,0.24292741506859156,0.10414399748914417,35.80649909988013,2554.6452354484536,0.4863376556702602
mixeddoc,mixeddoc_00004,region_controller,16.95175755356334,0.8631524443626404,0.8334904936112477,0.9549988693183246,0.6361208791208791,0.23887830927242695,0.10084075179355138,36.64882675225629,2440.344940566705,0.48098505266004016
mixeddoc,mixeddoc_00005,classical_shadow_0.40,11.29186081259635,0.4792134761810303,0.6648891474156522,0.8118143792912951,0.0504987165383205,0.1375839786593039,0.11265078135050614,52.490419018573476,27.766001092683826,0.32392266047530227
mixeddoc,mixeddoc_00005,docres_deshadow,14.142440751351309,0.5081628561019897,0.44927305044325067,0.7779575408412911,0.23412174550788412,0.14397307966090728,0.09640236382479624,56.6337654876295,40.19320981938953,0.597379522967662
mixeddoc,mixeddoc_00005,docres_input_blend_0.90,13.796397079834525,0.5078064203262329,0.48017852453566484,0.7938994554494515,0.20466079941327467,0.12934421219899778,0.09322393315864487,57.4442653074981,38.12048015623619,0.5462525081470114
mixeddoc,mixeddoc_00005,docres_input_blend_0.80,13.367325185879862,0.506149411201477,0.5082434052630834,0.8028569173703733,0.1644041070773744,0.11528430294009795,0.08771893385775203,58.84804012922577,36.13301774332824,0.48443965619967727
mixeddoc,mixeddoc_00005,region_controller,13.358865289295172,0.5062355995178223,0.5137741046703287,0.8095256885802226,0.16312064539787313,0.11270779496250288,0.08770117284263297,58.852569188081134,36.07580289411902,0.4796261199868062
mixeddoc,mixeddoc_00006,classical_shadow_0.40,13.988214313810284,0.31184205412864685,0.9244106225147648,0.958435008947454,0.036743674367436745,0.057892850722980733,0.09464736846320289,65.10980826075391,4622.249617767791,0.15070445560290663
mixeddoc,mixeddoc_00006,docres_deshadow,14.931223794718694,0.37867629528045654,0.48919871893196504,0.6460773548072231,0.03971947194719472,0.05477038618894568,0.06884054650105148,71.69054786110252,5312.808787489485,0.3327925308040196
mixeddoc,mixeddoc_00006,docres_input_blend_0.90,15.270283272147065,0.37586700916290283,0.5066039203445348,0.6622031072067676,0.03511367803447012,0.049227054077956786,0.0630821055108403,73.15895031360637,5076.71737719936,0.31468199881711634
mixeddoc,mixeddoc_00006,docres_input_blend_0.80,15.584825695391968,0.3713228702545166,0.526220785128269,0.6817349926793558,0.03017968463513018,0.04379803993471237,0.056950514262907925,74.72250608182912,4888.1074739343985,0.2950698558590389
mixeddoc,mixeddoc_00006,region_controller,15.72836602043222,0.37070026993751526,0.5342508946969505,0.6890963071416951,0.0268976897689769,0.03941280729380132,0.05371915672803768,75.54650225322104,4812.434175821422,0.2844814041096923
mixeddoc,mixeddoc_00007,classical_shadow_0.40,19.54892811432397,0.7804756164550781,0.9972971936628335,0.9991166247383481,0.0009853479853479854,0.0006493787258493427,0.0013629597277163637,35.94389162435152,2461.3301135316456,0.0032791381640424493
mixeddoc,mixeddoc_00007,docres_deshadow,18.997185012411236,0.7778750061988831,0.9128346167782758,0.9560808864478713,0.0026886446886446886,0.002551698628169182,0.0003381871382400197,36.20520863466799,2329.1652279853183,0.04313665887263226
mixeddoc,mixeddoc_00007,docres_input_blend_0.90,19.040123881494566,0.7782219052314758,0.919145648197672,0.9594607570141916,0.0024523809523809524,0.002406959706959643,0.0003775260372536844,36.195177215419506,2337.9767242670637,0.04002613876856463
mixeddoc,mixeddoc_00007,docres_input_blend_0.80,19.08347952223766,0.7785235047340393,0.9278127712852982,0.9645881742937799,0.0022014652014652014,0.0021867126337714554,0.00039961346378979823,36.1895449216528,2352.663999865502,0.03580017125486349
mixeddoc,mixeddoc_00007,region_controller,19.05620631630557,0.778093695640564,0.9307750605199583,0.9669886505482688,0.001992673992673993,0.002720505638152685,0.00010745251569110402,36.31884674642043,2358.2171593825196,0.0342965705233685
mixeddoc,mixeddoc_00008,classical_shadow_0.40,15.078799467194525,0.8036941289901733,0.8771713087586633,0.9326884802165433,0.01861985018726592,0.12266497760152743,0.1295578924694194,66.10740857353089,3101.794051241338,0.20069348776813006
mixeddoc,mixeddoc_00008,docres_deshadow,21.21665180215269,0.8909510374069214,0.7743445692756695,0.9382015763076188,0.03135767790262172,0.05850480282000434,0.06354057875078756,82.94182357178201,2912.019968396914,0.1944288901070447
mixeddoc,mixeddoc_00008,docres_input_blend_0.90,21.727217767331013,0.8976147174835205,0.7867255315133902,0.9434161292890694,0.027237827715355805,0.05254481897627958,0.05809393869379027,84.33071678631632,2926.8465682615797,0.17908562934111621
mixeddoc,mixeddoc_00008,docres_input_blend_0.80,22.127393237698474,0.9034178256988525,0.798418044998602,0.9482525276649948,0.022891385767790262,0.04667835059117273,0.0523356017113384,85.79909271684154,2946.601409222729,0.1636759667816915
mixeddoc,mixeddoc_00008,region_controller,22.292877275987895,0.9042226076126099,0.80354502686822,0.9518947536024202,0.02146067415730337,0.04437132261144156,0.051655191623237326,85.97259728930732,2956.5244398776654,0.15860705608512338
mixeddoc,mixeddoc_00009,classical_shadow_0.40,24.270308728031598,0.9071696996688843,0.9908165504500428,0.9946111741878633,0.0026544540229885057,0.0034773988618435484,0.00302523541601751,39.67412780980559,3861.1955979084582,0.009993107114817172
mixeddoc,mixeddoc_00009,docres_deshadow,25.002261406396933,0.9101779460906982,0.9446719957563475,0.9692769144735727,0.0028071120689655174,0.002524622492675168,0.00469081616325409,39.24940471926026,3547.8806872089244,0.03152905267363165
mixeddoc,mixeddoc_00009,docres_input_blend_0.90,24.991933941379294,0.9099652767181396,0.9488291270012605,0.9715646235447628,0.0025880028735632186,0.0026188725490195945,0.004374002944179128,39.33019209012438,3574.807918218713,0.02928684650911129
mixeddoc,mixeddoc_00009,docres_input_blend_0.80,24.990902100740378,0.9099220037460327,0.9558650223088972,0.9758858517903441,0.0021839080459770113,0.002471405228758207,0.003973780250041159,39.43224887712956,3607.141134596593,0.02541747824850123
mixeddoc,mixeddoc_00009,region_controller,24.93288558464204,0.9096450209617615,0.9558843062868453,0.9755977699073054,0.0018947557471264368,0.0032825177484787273,0.003405564188327856,39.57714397286645,3618.6537259608435,0.02510316353043426
mixeddoc,mixeddoc_00010,classical_shadow_0.40,28.174295539632503,0.9675538539886475,0.9942520506270736,0.9968007874984619,0.00036231884057971015,0.0017302846816913669,6.0298569024952236e-05,42.97960672126911,4935.113204474937,0.003677189072488127
mixeddoc,mixeddoc_00010,docres_deshadow,28.35465939050733,0.9670391082763672,0.9467821286959165,0.9708584553545794,0.0020624303232998887,0.0017389628463797188,0.005472901448881457,41.5993929869057,4613.557571843037,0.029989798418018226
mixeddoc,mixeddoc_00010,docres_input_blend_0.90,28.352165066143726,0.9669874310493469,0.9509750866664467,0.9730322792338296,0.0018617614269788184,0.0019027914398758211,0.0050768004261568965,41.70039874770046,4640.292699645612,0.027730169258722268
mixeddoc,mixeddoc_00010,docres_input_blend_0.80,28.354954337539958,0.9671562910079956,0.9562937062744897,0.9759443829211271,0.001956521739130435,0.002012481692788563,0.004615638652746147,41.8179949999202,4673.805710252419,0.02519872978437317
mixeddoc,mixeddoc_00010,region_controller,28.31968957762658,0.9669489860534668,0.958085397214577,0.9773799269923301,0.0016889632107023411,0.00288024715646193,0.004138740465860651,41.939604037576004,4685.1795717791665,0.02418587760624387
mixeddoc,mixeddoc_00011,classical_shadow_0.40,15.66184499139734,0.7418939471244812,0.8627216783719076,0.944752480878046,0.04661266294227188,0.1266429108701208,0.06541226468523717,39.4107079417228,150.8999124572163,0.19829243083410408
mixeddoc,mixeddoc_00011,docres_deshadow,19.58521046854549,0.7727078795433044,0.7365404575852579,0.9281469475958941,0.2399217877094972,0.1466227626246029,0.11614653867511784,26.473468074303227,137.13721985343776,0.48681561005104307
mixeddoc,mixeddoc_00011,docres_input_blend_0.90,18.95952943096145,0.7698855996131897,0.747090380052121,0.9345161932383633,0.22248044692737431,0.13205241172819218,0.11305899547965337,27.26079158914667,133.58768477292645,0.45694613788298877
mixeddoc,mixeddoc_00011,docres_input_blend_0.80,18.12075760058113,0.7656867504119873,0.7541159791284616,0.9377292501919304,0.19438919925512105,0.11729930989155431,0.10699428007492151,28.807294017353293,129.77158790993488,0.4161533006488879
mixeddoc,mixeddoc_00011,region_controller,18.08325184822578,0.7648516297340393,0.7582354560295872,0.9398333759845319,0.1945418994413408,0.11649357724467811,0.10534199982746696,29.228625480454202,129.46454132491363,0.41313857502237805
mixeddoc,mixeddoc_00012,classical_shadow_0.40,15.129018596285977,0.6446545720100403,0.903712739176189,0.9339189694904572,0.018342450765864333,0.02350045050843095,0.04376114414229643,45.6135300748581,3026.941545625149,0.09732858482532954
mixeddoc,mixeddoc_00012,docres_deshadow,19.443588136267707,0.7463690638542175,0.7297371907992908,0.7809773295779087,0.11529540481400438,0.07194197737446545,0.09496469843227616,32.556623730913266,2852.727326763781,0.3226692789634754
mixeddoc,mixeddoc_00012,docres_input_blend_0.90,19.17224339606069,0.7408632040023804,0.7379965201803207,0.7853105119064032,0.11192195477753465,0.06465546831424039,0.09326163894622123,32.99090389985727,2828.0594039547677,0.31164269138981926
mixeddoc,mixeddoc_00012,docres_input_blend_0.80,18.67303523335346,0.7328404784202576,0.7458620048215387,0.7899194422012566,0.10799051787016777,0.057505563421575714,0.0890959076362213,34.053165383907256,2807.585183373634,0.2988123856508384
mixeddoc,mixeddoc_00012,region_controller,18.42200037475241,0.7284050583839417,0.7495764841530693,0.7930708475310709,0.10468088986141502,0.05314478482859221,0.08622181787786791,34.78605827228737,2792.590067215996,0.2903624766506914
mixeddoc,mixeddoc_00013,classical_shadow_0.40,13.310833251279515,0.8096480369567871,0.9384188714180611,0.9678064159651575,0.04685347985347985,0.06980434532787474,0.0902557718755187,55.749735092762776,3531.605169362364,0.15664018897181348
mixeddoc,mixeddoc_00013,docres_deshadow,23.972390499461707,0.9134628176689148,0.8394194041124611,0.8928397308804888,0.274003663003663,0.16426048983696045,0.14820783902196658,40.971957970418565,4582.497137223359,0.4768901674973566
mixeddoc,mixeddoc_00013,docres_input_blend_0.90,22.67679739411632,0.9084902405738831,0.8473711704383835,0.896284980661098,0.26665934065934066,0.14755436328377503,0.1489226347293244,40.78968506504232,4419.294619971341,0.4670582994538321
mixeddoc,mixeddoc_00013,docres_input_blend_0.80,20.50936131767067,0.8987493515014648,0.8549644240580487,0.9002177657880196,0.24006043956043957,0.13131223874165052,0.14464087753971694,41.88153314839222,4271.783173357365,0.44463587075480804
mixeddoc,mixeddoc_00013,region_controller,20.074972324678217,0.8951372504234314,0.8571979513628101,0.9030292196184223,0.23705311355311356,0.12697438770379943,0.1416012632979523,42.656634780042204,4184.782154313608,0.4370645485001402
mixeddoc,mixeddoc_00014,classical_shadow_0.40,14.073305540407453,0.3068092465400696,0.901775608624269,0.9703890461968117,0.054617216117216115,0.0074988220929397215,0.024227848644253796,35.42894369889312,1048.550120424949,0.11635443026002325
mixeddoc,mixeddoc_00014,docres_deshadow,15.106480174380177,0.33726760745048523,0.5994507575719731,0.7366122338156006,0.0847014652014652,0.017896257990375655,0.042486566913590214,30.772970540212334,836.3976055091441,0.29759906763838173
mixeddoc,mixeddoc_00014,docres_input_blend_0.90,14.941937598968911,0.3368459641933441,0.6261750051326139,0.756549396842636,0.07608791208791209,0.0160706672412554,0.03940488149016285,31.55880032318631,837.2376707005191,0.27438035556883567
