method,n,ocr_proxy_cer_to_clean,ocr_drift_from_input,mean_conf,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input,empty_rate
classical_shadow_0.40,50,0.6109272662515407,0.1421348515867472,0.6121437859826702,-0.010958769547345,2.1,-0.02,0.18
docres_deshadow,50,0.5828454128903551,0.2585833961495636,0.6383344928481661,0.0152319373181509,42.12,1.04,0.14
input,50,0.6072125461059961,0.0,0.6231025555300153,0.0,0.0,0.0,0.16
no_qwen_selected,50,0.5846503165006279,0.2220821011382176,0.6300516799377616,0.0069491244077463,37.16,0.42,0.16
qwen_selected,50,0.5860952262317446,0.2327037073223712,0.638911403081789,0.0158088475517737,36.66,0.58,0.14
