sample_id,method,candidate,clean_char_count,input_char_count,char_count,line_count,mean_conf,ocr_proxy_cer_to_clean,ocr_drift_from_input,conf_gain_vs_input,char_gain_vs_input,line_gain_vs_input
mixeddoc_01113,docres_deshadow,docres_deshadow,884,956,958,36,0.8011535646646525,0.0908141962421711,0.1649269311064718,0.0099563460497558,2,0
mixeddoc_01113,no_qwen_selected,docres_classical040_blend_0.90,884,956,959,36,0.7963439641940927,0.0928050052137643,0.1647549530761209,0.005146745579196,3,0
mixeddoc_01113,qwen_selected,region_controller,884,956,958,36,0.7905285552284416,0.092901878914405,0.162839248434238,-0.0006686633864551,2,0
mixeddoc_00065,input,input,353,340,340,18,0.8642687549659488,0.1303116147308781,0.0,0.0,0,0
mixeddoc_00065,classical_shadow_0.40,classical_shadow_0.40,353,340,338,19,0.8659859630479799,0.1331444759206798,0.0147058823529411,0.0017172080820311,-2,1
mixeddoc_00065,docres_deshadow,docres_deshadow,353,340,339,18,0.8636850156439451,0.121813031161473,0.0323529411764705,-0.0005837393220037,-1,0
mixeddoc_00065,no_qwen_selected,region_controller,353,340,335,18,0.875386434461105,0.1331444759206798,0.0264705882352941,0.0111176794951561,-5,0
mixeddoc_00065,qwen_selected,docres_input_blend_0.90,353,340,336,17,0.8757528449297518,0.1274787535410765,0.038235294117647,0.011484089963803,-4,-1
mixeddoc_01695,input,input,130,138,138,13,0.7618288612530134,0.3405797101449275,0.0,0.0,0,0
mixeddoc_01695,classical_shadow_0.40,classical_shadow_0.40,130,138,131,12,0.737059531405965,0.3053435114503817,0.144927536231884,-0.0247693298470483,-7,-1
mixeddoc_01695,docres_deshadow,docres_deshadow,130,138,138,11,0.7715200578309109,0.1666666666666666,0.2101449275362318,0.0096911965778975,0,-2
mixeddoc_01695,no_qwen_selected,region_controller,130,138,137,11,0.7802395208430112,0.1751824817518248,0.2028985507246377,0.0184106595899977,-1,-2
mixeddoc_01695,qwen_selected,docres_classical040_blend_0.90,130,138,137,11,0.7899982576695628,0.1751824817518248,0.1956521739130435,0.0281693964165493,-1,-2
mixeddoc_00996,input,input,937,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00996,classical_shadow_0.40,classical_shadow_0.40,937,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00996,docres_deshadow,docres_deshadow,937,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00996,no_qwen_selected,region_controller,937,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00996,qwen_selected,docres_deshadow,937,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_01743,input,input,473,492,492,60,0.7890550042693666,0.2154471544715447,0.0,0.0,0,0
mixeddoc_01743,classical_shadow_0.40,classical_shadow_0.40,473,492,477,61,0.7884370871001872,0.1446540880503144,0.1930894308943089,-0.0006179171691793,-15,1
mixeddoc_01743,docres_deshadow,docres_deshadow,473,492,479,61,0.7816857081021827,0.0709812108559499,0.1808943089430894,-0.0073692961671838,-13,1
mixeddoc_01743,no_qwen_selected,docres_input_blend_0.90,473,492,451,59,0.7944556565098713,0.1458773784355179,0.2052845528455284,0.0054006522405046,-41,-1
mixeddoc_01743,qwen_selected,docres_input_blend_0.80,473,492,471,59,0.7854960476864842,0.1416490486257928,0.2154471544715447,-0.0035589565828824,-21,-1
mixeddoc_01131,input,input,1113,1094,1094,76,0.7893777905968505,0.3773584905660377,0.0,0.0,0,0
mixeddoc_01131,classical_shadow_0.40,classical_shadow_0.40,1113,1094,1093,73,0.7963524265220094,0.3917340521114106,0.0648994515539305,0.0069746359251589,-1,-3
mixeddoc_01131,docres_deshadow,docres_deshadow,1113,1094,1054,69,0.8038881869852865,0.3926325247079964,0.1462522851919561,0.0145103963884359,-40,-7
mixeddoc_01131,no_qwen_selected,region_controller,1113,1094,1068,69,0.810338948806717,0.3647798742138364,0.1407678244972577,0.0209611582098664,-26,-7
mixeddoc_01131,qwen_selected,docres_input_blend_0.90,1113,1094,1070,68,0.806376472339355,0.3701707097933513,0.1508226691042047,0.0169986817425045,-24,-8
mixeddoc_00757,input,input,3174,2897,2897,148,0.818380960662715,0.5847511027095148,0.0,0.0,0,0
mixeddoc_00757,classical_shadow_0.40,classical_shadow_0.40,3174,2897,2923,149,0.8254620393525262,0.575299306868305,0.1980841601094765,0.0070810786898111,26,1
mixeddoc_00757,docres_deshadow,docres_deshadow,3174,2897,2934,155,0.8137322225394937,0.576244486452426,0.2995910020449898,-0.0046487381232213,37,7
mixeddoc_00757,no_qwen_selected,region_controller,3174,2897,2939,155,0.8147199619506172,0.5661625708884688,0.282068730860837,-0.0036609987120977,42,7
mixeddoc_00757,qwen_selected,input,3174,2897,2897,148,0.818380960662715,0.5847511027095148,0.0,0.0,0,0
mixeddoc_00552,input,input,3260,3211,3211,117,0.8674963273781805,0.3938650306748466,0.0,0.0,0,0
mixeddoc_00552,classical_shadow_0.40,classical_shadow_0.40,3260,3211,3245,125,0.8591494379124346,0.4113496932515337,0.1426810477657935,-0.0083468894657459,34,8
mixeddoc_00552,docres_deshadow,docres_deshadow,3260,3211,3275,120,0.8625140834725367,0.4363358778625954,0.1148091603053435,-0.0049822439056438,64,3
mixeddoc_00552,no_qwen_selected,docres_input_blend_0.80,3260,3211,3271,117,0.8713921594020745,0.4322837052889025,0.0859064506267196,0.0038958320238939,60,0
mixeddoc_00552,qwen_selected,input,3260,3211,3211,117,0.8674963273781805,0.3938650306748466,0.0,0.0,0,0
mixeddoc_00580,input,input,2747,2201,2201,101,0.7918381928985585,0.5111030214779759,0.0,0.0,0,0
mixeddoc_00580,classical_shadow_0.40,classical_shadow_0.40,2747,2201,2395,106,0.7904904339596956,0.5194757917728431,0.3849686847599164,-0.0013477589388628,194,5
mixeddoc_00580,docres_deshadow,docres_deshadow,2747,2201,2263,92,0.7859046067736893,0.5111030214779759,0.5629695095006628,-0.0059335861248691,62,-9
mixeddoc_00580,no_qwen_selected,docres_input_blend_0.90,2747,2201,2267,90,0.7918697248981728,0.5566072078631235,0.5024261138067931,3.153199961425379e-05,66,-11
mixeddoc_00580,qwen_selected,docres_deshadow,2747,2201,2263,92,0.7859046067736893,0.5111030214779759,0.5629695095006628,-0.0059335861248691,62,-9
mixeddoc_01184,input,input,843,693,693,27,0.6316749356099003,0.4543297746144721,0.0,0.0,0,0
mixeddoc_01184,classical_shadow_0.40,classical_shadow_0.40,843,693,683,28,0.6141218277200803,0.4472123368920522,0.1226551226551226,-0.01755310788982,-10,1
mixeddoc_01184,docres_deshadow,docres_deshadow,843,693,728,34,0.6519147099973296,0.4116251482799525,0.3063186813186813,0.0202397743874293,35,7
mixeddoc_01184,no_qwen_selected,input,843,693,693,27,0.6316749356099003,0.4543297746144721,0.0,0.0,0,0
mixeddoc_01184,qwen_selected,classical_shadow_0.40,843,693,683,28,0.6141218277200803,0.4472123368920522,0.1226551226551226,-0.01755310788982,-10,1
mixeddoc_00448,input,input,793,611,611,48,0.796136887362224,0.4224464060529634,0.0,0.0,0,0
mixeddoc_00448,classical_shadow_0.40,classical_shadow_0.40,793,611,606,47,0.7947464443893332,0.4300126103404792,0.0392798690671031,-0.0013904429728908,-5,-1
mixeddoc_00448,docres_deshadow,docres_deshadow,793,611,616,47,0.7870276739087289,0.416141235813367,0.1493506493506493,-0.0091092134534951,5,-1
mixeddoc_00448,no_qwen_selected,region_controller,793,611,617,47,0.796733321335127,0.416141235813367,0.1361426256077795,0.0005964339729029,6,-1
mixeddoc_00448,qwen_selected,docres_classical040_blend_0.90,793,611,616,47,0.7892289496733753,0.4123581336696091,0.1461038961038961,-0.0069079376888486,5,-1
mixeddoc_00667,input,input,5920,146,146,5,0.5371803701523855,0.9756756756756756,0.0,0.0,0,0
mixeddoc_00667,classical_shadow_0.40,classical_shadow_0.40,5920,146,155,5,0.5349831612902716,0.9738175675675677,0.2387096774193548,-0.0021972088621139,9,0
mixeddoc_00667,docres_deshadow,docres_deshadow,5920,146,1697,54,0.6405384977187741,0.783445945945946,0.9210371243370654,0.1033581275663886,1551,49
mixeddoc_00667,no_qwen_selected,docres_input_blend_0.80,5920,146,1680,53,0.6249260337355259,0.7847972972972973,0.9178571428571428,0.0877456635831404,1534,48
mixeddoc_00667,qwen_selected,docres_classical040_blend_0.90,5920,146,1640,52,0.6365812225390675,0.7891891891891892,0.9164634146341464,0.0994008523866819,1494,47
mixeddoc_00138,input,input,535,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00138,classical_shadow_0.40,classical_shadow_0.40,535,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00138,docres_deshadow,docres_deshadow,535,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00138,no_qwen_selected,docres_input_blend_0.80,535,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00138,qwen_selected,docres_deshadow,535,0,0,0,0.0,1.0,0.0,0.0,0,0
mixeddoc_00478,input,input,668,190,190,13,0.6071001349711886,0.8068862275449101,0.0,0.0,0,0
mixeddoc_00478,classical_shadow_0.40,classical_shadow_0.40,668,190,161,13,0.6049302981882494,0.8398203592814372,0.3842105263157894,-0.0021698367829392,-29,0
mixeddoc_00478,docres_deshadow,docres_deshadow,668,190,276,22,0.6397153755463161,0.7110778443113772,0.5398550724637681,0.0326152405751274,86,9
mixeddoc_00478,no_qwen_selected,docres_input_blend_0.80,668,190,276,22,0.6270637915323591,0.7125748502994012,0.5253623188405797,0.0199636565611704,86,9
mixeddoc_00478,qwen_selected,docres_deshadow,668,190,276,22,0.6397153755463161,0.7110778443113772,0.5398550724637681,0.0326152405751274,86,9
mixeddoc_01311,input,input,3303,3029,3029,102,0.7914249059154695,0.2809567060248259,0.0,0.0,0,0
mixeddoc_01311,classical_shadow_0.40,classical_shadow_0.40,3303,3029,3037,102,0.79343507565335,0.2767181350287617,0.0559762923938096,0.0020101697378804,8,0
