setting,method,psnr,ssim,content_risk,delta_psnr_vs_mmdir,delta_risk_vs_mmdir
MixedDoc test,Input degraded,17.027406720330923,0.7044931455893289,1.0641111996861391e-11,-10.492144984338896,-0.4363546763129031
MixedDoc test,DocRes deshadow,20.272488479037403,0.7314456487840303,0.2183956832962305,-7.2470632256324174,-0.21795899302731372
MixedDoc test,MMDIR official,27.51955170466982,0.9479105200628387,0.4363546763235442,0.0,0.0
MixedDoc test,HistRestore + MMDIR,27.667251912803778,0.9479694183056171,0.4305764974265068,0.14770020813396034,-0.005778178897037517
MixedDoc test,Oracle candidate pool,27.858771951651594,0.9459275827799931,0.4230542429512417,0.339220246981772,-0.01330043337230257
