dataset,sample_id,source_page_id,split,candidate,psnr,ssim,content_risk,edge_jaccard,edge_keep,foreground_shift,mean_shift,contrast_shift
compound_proxy,000004_jung_005_v00,jung_005,val,input,16.959166864171227,0.4788897633552551,1.4144735382970452e-11,0.9999999999685673,1.0,0.0,0.0,0.0
compound_proxy,000004_jung_005_v00,jung_005,val,classical_shadow_0.25,16.200091517433716,0.46507957577705383,0.10580445977427562,0.8708738950187178,0.9785628968378701,0.03776962204623012,0.017619927759913515,0.004800198970838517
compound_proxy,000004_jung_005_v00,jung_005,val,classical_shadow_0.40,15.655339566709385,0.4562458395957947,0.1430765635445174,0.8411093338888739,0.9752310303639907,0.054800077264825185,0.027609259659050055,0.009553304443442389
compound_proxy,000004_jung_005_v00,jung_005,val,classical_shadow_0.55,15.075025788133392,0.4470330476760864,0.16980338563162428,0.8209173239630064,0.9715848368642735,0.06427467645354452,0.039183454722433675,0.015446871787431994
compound_proxy,000004_jung_005_v00,jung_005,val,classical_shadow_0.70,14.48391547645153,0.43852347135543823,0.19423332778124622,0.8017542033001469,0.9682844030929779,0.07212993368102505,0.048755859564867735,0.02231740293223362
compound_proxy,000004_jung_005_v00,jung_005,val,docres_deshadow,15.514459453136686,0.47388091683387756,0.08853174646680906,0.9195141603473839,0.9685044320110643,0.03343957246796729,0.036110170550739104,0.007382463224781444
compound_proxy,000004_jung_005_v00,jung_005,val,docres_classical040_blend_0.70,15.595993104804686,0.4693070650100708,0.10054052054041368,0.8869410787176838,0.9732822028037971,0.03426051123559333,0.03375967861872716,0.003166038800478648
compound_proxy,000004_jung_005_v00,jung_005,val,docres_input_blend_0.70,15.98170232626134,0.47543105483055115,0.06536915453662906,0.9368208161996854,0.9755139246872446,0.02334685467774129,0.025300013508719493,0.005786102908763979
compound_proxy,000004_jung_005_v00,jung_005,val,docres_classical040_blend_0.80,15.5718766948117,0.47080445289611816,0.09554473668306906,0.8984098426992511,0.9731879046960458,0.03322387483098319,0.034504514058536925,0.004672475738890128
compound_proxy,000004_jung_005_v00,jung_005,val,docres_input_blend_0.80,15.82784623583684,0.4749150276184082,0.07357800313587035,0.9300003007872334,0.9717734330797761,0.026656364689974888,0.02894889537812424,0.006403692748167985
compound_proxy,000004_jung_005_v00,jung_005,val,docres_classical040_blend_0.85,15.558073465117896,0.4715958833694458,0.09365730465571735,0.9029619676081392,0.9716477022694411,0.032792479557015,0.034972193500412266,0.005348055203666774
compound_proxy,000004_jung_005_v00,jung_005,val,docres_input_blend_0.85,15.748175105951024,0.4747084975242615,0.07726292131378372,0.9276580416363193,0.971396240648771,0.028388384521280022,0.030787873967435132,0.006675843236455527
compound_proxy,000004_jung_005_v00,jung_005,val,docres_classical040_blend_0.90,15.543146298919124,0.4723205268383026,0.09117804522875511,0.9105053779015616,0.9712076444332683,0.03313373253493014,0.035402313652265406,0.006018012147702562
compound_proxy,000004_jung_005_v00,jung_005,val,docres_input_blend_0.90,15.669340979117907,0.4746429920196533,0.0800100776743381,0.9273152871698183,0.9712705098384359,0.030097868778571887,0.03263849278041016,0.006914485016700625
compound_proxy,000004_jung_005_v00,jung_005,val,docres_classical040_blend_0.95,15.5238391712668,0.4730163812637329,0.09128890995885397,0.9095155044219599,0.9671213930973785,0.032280600090142296,0.03564639222503765,0.006719549947630972
compound_proxy,000004_jung_005_v00,jung_005,val,docres_input_blend_0.95,15.595699638805836,0.47412192821502686,0.08365951758806656,0.9227962070855554,0.9696988747092475,0.030902710707617024,0.03437784772011952,0.00710660163483611
compound_proxy,000004_jung_005_v00,jung_005,val,docres_appearance,13.969227399057807,0.45695412158966064,0.23177953146678337,0.7045941806864575,0.8677311875275037,0.032615414332625076,0.06991697818783689,0.063774511946549
compound_proxy,000004_jung_005_v00,jung_005,val,docres_binarization,10.849612900020407,0.5077676773071289,0.6940114503447908,0.004907476869063908,0.0049349343056516,0.16250080484192905,0.16174714454708547,0.03170025379184386
compound_proxy,000004_jung_005_v00,jung_005,val,binary_input_blend_0.75,12.28355556277409,0.5052523016929626,0.6796265853827426,0.007161397254052557,0.007198088891682907,0.16250080484192905,0.12129517056967663,0.03638390179544416
compound_proxy,000004_jung_005_v00,jung_005,val,binary_docres_blend_0.75,11.960379634563314,0.5034512877464294,0.6839384237143545,0.00706647489190587,0.007103790783931602,0.16250080484192905,0.13081211391259231,0.03715447834791034
compound_proxy,000004_jung_005_v00,jung_005,val,binary_input_blend_0.90,11.403576728276564,0.5085291862487793,0.6880935464153588,0.006472593101952015,0.006506569434840007,0.16250080484192905,0.1441896220209802,0.034715932768193576
compound_proxy,000004_jung_005_v00,jung_005,val,binary_docres_blend_0.90,11.28317518004901,0.5078447461128235,0.6900282664839957,0.006410657326711781,0.006443704029672471,0.16250080484192905,0.1487473755840628,0.034855512009102946
compound_proxy,000004_jung_005_v01,jung_005,val,input,14.696850244542961,0.4757738411426544,1.738122645811302e-10,0.9999999996137505,1.0,0.0,0.0,0.0
compound_proxy,000004_jung_005_v01,jung_005,val,classical_shadow_0.25,17.452174596952798,0.4813600182533264,0.37609969641105084,0.4551886791558198,0.8945538818076477,0.08644002317944756,0.0739011035487533,0.02489022905370141
compound_proxy,000004_jung_005_v01,jung_005,val,classical_shadow_0.40,18.308269623870718,0.4785999059677124,0.5015094099998171,0.31917925330305225,0.8651989185013519,0.12533964329405706,0.11755454303284643,0.03796435579832486
compound_proxy,000004_jung_005_v01,jung_005,val,classical_shadow_0.55,17.87613132536148,0.4726136028766632,0.6855221312098936,0.24084460571419283,0.8458864426419467,0.48352971476402035,0.16154159738713594,0.04880927471070998
compound_proxy,000004_jung_005_v01,jung_005,val,classical_shadow_0.70,16.458547875384127,0.464579313993454,0.7363811325249373,0.1774260379400492,0.8269602162997296,0.488249307835941,0.2056008413280966,0.05663752177786801
compound_proxy,000004_jung_005_v01,jung_005,val,docres_deshadow,16.44254379980331,0.4867936372756958,0.6441506317690813,0.38739205520079584,0.8663576670529162,0.4957600927177902,0.20364554887694575,0.06169806176443515
compound_proxy,000004_jung_005_v01,jung_005,val,docres_classical040_blend_0.70,17.50562443814883,0.4869964122772217,0.6304090396299891,0.39202485751907046,0.8771726535341831,0.49082802137660164,0.17783036078380873,0.059480135333412135
compound_proxy,000004_jung_005_v01,jung_005,val,docres_input_blend_0.70,18.387271243764342,0.49050286412239075,0.5631474766544693,0.5020425713820592,0.9018926226342217,0.48968514583735756,0.14259219701015427,0.0533829249538903
compound_proxy,000004_jung_005_v01,jung_005,val,docres_classical040_blend_0.80,17.176390132057236,0.48723867535591125,0.6325349994234806,0.3966392437604342,0.8752414059482425,0.4920224067993046,0.1864324355716146,0.060749474811716865
compound_proxy,000004_jung_005_v01,jung_005,val,docres_input_blend_0.80,17.924147029789907,0.4899452030658722,0.5923474963335669,0.46073717939488434,0.8883738895326381,0.49132380400489345,0.16296641378848883,0.0574877692431155
compound_proxy,000004_jung_005_v01,jung_005,val,docres_classical040_blend_0.85,17.000690101813856,0.4872589409351349,0.6329568478744131,0.40013954292688997,0.8860563924295095,0.492617989826798,0.19070920777041753,0.06122659847224433
compound_proxy,000004_jung_005_v01,jung_005,val,docres_input_blend_0.85,17.60588441781832,0.4893032908439636,0.60434150436753,0.445258288271924,0.8922363847045192,0.49191616766467067,0.17314032277001976,0.059086008303146434
compound_proxy,000004_jung_005_v01,jung_005,val,docres_classical040_blend_0.90,16.81975232327141,0.48715129494667053,0.6385791585869,0.39186627599657653,0.8783314020857474,0.49347434163930204,0.1950659339133246,0.06148768203338268
compound_proxy,000004_jung_005_v01,jung_005,val,docres_input_blend_0.90,17.245272620644293,0.48851263523101807,0.621719719688261,0.4173357663472015,0.8833526458091927,0.49267915781340543,0.18335142491740114,0.060300407629235345
compound_proxy,000004_jung_005_v01,jung_005,val,docres_classical040_blend_0.95,16.63027911407235,0.4871595501899719,0.6391984399499381,0.39463534354932756,0.869447663190421,0.4951709484257292,0.199348021225102,0.06174189342849098
compound_proxy,000004_jung_005_v01,jung_005,val,docres_input_blend_0.95,16.85570600924298,0.4878558814525604,0.6325159254946301,0.40354924571365586,0.8783314020857474,0.494311377245509,0.19343860034516683,0.06122940987951412
compound_proxy,000004_jung_005_v01,jung_005,val,docres_appearance,14.867957520122768,0.4832008481025696,0.7421610241212362,0.1375566172279235,0.8563151796060255,0.4923958534543816,0.25281086151542587,0.006769169789669651
compound_proxy,000004_jung_005_v01,jung_005,val,docres_binarization,10.75460278576595,0.5050726532936096,0.7943809416422373,0.11938841895921001,0.141753572808034,0.5380046358895113,0.3588852781470583,0.08017621695646976
compound_proxy,000004_jung_005_v01,jung_005,val,binary_input_blend_0.75,13.75186697738778,0.5103152394294739,0.7805974262262397,0.15253692994459317,0.18346852066434918,0.5380046358895113,0.269229472743318,0.08206507450217777
compound_proxy,000004_jung_005_v01,jung_005,val,binary_docres_blend_0.75,12.071080636235754,0.5061293840408325,0.7850127845876183,0.15125240842927026,0.18192352259559674,0.5380046358895113,0.32016331663049624,0.08846061396798317
compound_proxy,000004_jung_005_v01,jung_005,val,binary_input_blend_0.90,11.874632839094321,0.5084547400474548,0.7827196027346646,0.14991974313004183,0.18037852452684433,0.5380046358895113,0.3230648001908896,0.08363914523863905
compound_proxy,000004_jung_005_v01,jung_005,val,binary_docres_blend_0.90,11.266031484137,0.5062750577926636,0.7833533436436262,0.14964675653511667,0.17999227500965623,0.5380046358895113,0.3434060657937762,0.08449064014071461
compound_proxy,000005_jung_006_v00,jung_006,val,input,22.03965372607751,0.9185972809791565,1.2985512665153465e-11,0.9999999999711433,1.0,0.0,0.0,0.0
compound_proxy,000005_jung_006_v00,jung_006,val,classical_shadow_0.25,22.32562839850612,0.9489157795906067,0.05592916174601767,0.9376647627159033,0.9853407975991227,0.01532564246995223,0.012855810727132157,0.012350563678948413
compound_proxy,000005_jung_006_v00,jung_006,val,classical_shadow_0.40,21.963546739754037,0.9600828289985657,0.08329079270691557,0.9127835272424049,0.982426271137531,0.02329205041734029,0.020668983765533784,0.02080622673740658
compound_proxy,000005_jung_006_v00,jung_006,val,classical_shadow_0.55,21.288183541681516,0.9664180278778076,0.10319517965464575,0.8972224424298416,0.9796848848617764,0.02742156124038947,0.028850075498637377,0.029972812180383435
compound_proxy,000005_jung_006_v00,jung_006,val,classical_shadow_0.70,20.41711934049129,0.9688401818275452,0.12331376158899165,0.8848258965574222,0.9796560281641369,0.03314215905017594,0.03642189961083806,0.03962416024220075
compound_proxy,000005_jung_006_v00,jung_006,val,docres_deshadow,18.295747209187603,0.9118218421936035,0.06728377904307291,0.9446827599477197,0.9722975702660588,0.01637173644284157,0.06257591281488788,0.0016481990845833938
compound_proxy,000005_jung_006_v00,jung_006,val,docres_classical040_blend_0.70,19.341143488903093,0.9307814836502075,0.057329117798813195,0.9459368984588407,0.9785017602585561,0.010347551920643164,0.050072400374717614,0.004373683391268801
compound_proxy,000005_jung_006_v00,jung_006,val,docres_input_blend_0.70,19.504616294596428,0.9140724539756775,0.05081401112877232,0.9556790610800745,0.9775206325388123,0.012531181647268817,0.04354272568799716,0.0015355278205636078
compound_proxy,000005_jung_006_v00,jung_006,val,docres_classical040_blend_0.80,18.987875204561078,0.9250423908233643,0.05896010323757138,0.9455002794593208,0.9762220811450337,0.011393645893532506,0.054204952085224,0.0022660037777393815
compound_proxy,000005_jung_006_v00,jung_006,val,docres_input_blend_0.80,19.097720989863898,0.9132991433143616,0.056013732981666314,0.9511453818610023,0.9752986668205691,0.013116409044689427,0.04982980353715456,0.0016347072659434773
compound_proxy,000005_jung_006_v00,jung_006,val,docres_classical040_blend_0.85,18.804167228338198,0.9220142364501953,0.06066115207722804,0.946814760905721,0.976568361516708,0.013361473017359307,0.05642990632488807,0.0013239315624799456
compound_proxy,000005_jung_006_v00,jung_006,val,docres_input_blend_0.85,18.889754846749756,0.9129237532615662,0.06095262966968339,0.9490825301107404,0.9746349627748601,0.015823085757759748,0.053096562950888625,0.0016300954690022873
compound_proxy,000005_jung_006_v00,jung_006,val,docres_classical040_blend_0.90,18.642698978109564,0.9186534881591797,0.062058796565816504,0.9450383388105155,0.9744906792866624,0.013869889318868463,0.05829069994774549,0.00023313288763632148
compound_proxy,000005_jung_006_v00,jung_006,val,docres_input_blend_0.90,18.687866125535077,0.9124311208724976,0.06314587495272495,0.9481092318663789,0.9738269752409534,0.016276636990760724,0.056277503356809866,0.0016789849318512764
compound_proxy,000005_jung_006_v00,jung_006,val,docres_classical040_blend_0.95,18.445518417968298,0.9151701927185059,0.0658426662796677,0.9449916060172079,0.9746061060772205,0.016386367127777086,0.06085954700243796,0.0005978384310983011
compound_proxy,000005_jung_006_v00,jung_006,val,docres_input_blend_0.95,18.496262923058826,0.9121844172477722,0.06516006777984841,0.9456085724439505,0.9727592774282912,0.016002311648219813,0.059220809882998986,0.001655482963677861
compound_proxy,000005_jung_006_v00,jung_006,val,docres_appearance,19.33171770507948,0.9604334831237793,0.1828668800427069,0.7976658697514802,0.8954233277543718,0.02112670904688403,0.05983756497207472,0.07792464399193175
compound_proxy,000005_jung_006_v00,jung_006,val,docres_binarization,13.174933736343666,0.535980224609375,0.6416914409427891,0.07579000027581807,0.07869221446297686,0.11748805770342138,0.1138406136051887,0.10462106320235041
compound_proxy,000005_jung_006_v00,jung_006,val,binary_input_blend_0.75,15.24299088106549,0.6703272461891174,0.5936368004577747,0.11365309473600846,0.11583078432504185,0.11748805770342138,0.08597189847050529,0.07150645999559174
