dataset,sample_id,candidate,niqe,musiq,psnr,ssim,content_risk,selector,deqadoc
compound_proxy,000004_jung_005_v00,docres_classical040_blend_0.95,5.284951274808237,53.297996520996094,15.5238391712668,0.4730163812637329,0.0912889099588539,NIQE selector restricted16,
compound_proxy,000004_jung_005_v01,classical_shadow_0.70,6.105199343317152,30.63694190979004,16.458547875384127,0.464579313993454,0.7363811325249373,NIQE selector restricted16,
compound_proxy,000005_jung_006_v00,docres_classical040_blend_0.70,4.654294420586158,52.73873901367188,19.341143488903093,0.9307814836502076,0.0573291177988131,NIQE selector restricted16,
compound_proxy,000005_jung_006_v01,input,7.284930822836655,23.23244285583496,23.128856299981784,0.7458389401435852,8.376769278228836e-11,NIQE selector restricted16,
compound_proxy,000013_jung_014_v00,classical_shadow_0.70,6.315274916301068,24.39361572265625,16.88495358180787,0.6504322290420532,0.5731677107567404,NIQE selector restricted16,
compound_proxy,000013_jung_014_v01,classical_shadow_0.70,4.681565595285718,53.365230560302734,23.001189177553325,0.9295896291732788,0.2819286682320301,NIQE selector restricted16,
compound_proxy,000016_jung_017_v00,classical_shadow_0.70,4.232760822696183,47.86080932617188,16.55406136181756,0.4440680146217346,0.2032133344419088,NIQE selector restricted16,
compound_proxy,000016_jung_017_v01,classical_shadow_0.70,3.7377232824149424,51.03130340576172,25.07760585875176,0.9824333786964417,0.3701465896108823,NIQE selector restricted16,
compound_proxy,000023_jung_024_v00,docres_classical040_blend_0.95,5.134938977004303,52.86585998535156,19.082124464689343,0.9847516417503356,0.2677193734172088,NIQE selector restricted16,
compound_proxy,000023_jung_024_v01,docres_classical040_blend_0.90,5.301924303953975,50.67398071289063,17.64037126670679,0.6290616989135742,0.4096213108633361,NIQE selector restricted16,
compound_proxy,000025_jung_026_v00,classical_shadow_0.70,5.249297599583381,50.57365417480469,16.32110507119156,0.7109611630439758,0.4059647500755958,NIQE selector restricted16,
compound_proxy,000025_jung_026_v01,docres_classical040_blend_0.90,4.612657825429864,41.76855850219727,19.44512206498785,0.916263997554779,0.6458492368069885,NIQE selector restricted16,
