dataset,sample_id,candidate,psnr,ssim,content_risk,deqadoc,selector
compound_proxy,000004_jung_005_v00,classical_shadow_0.70,14.48391547645153,0.43852347135543823,0.19423332778124622,2.90234375,DeQA-Doc selector
compound_proxy,000004_jung_005_v01,input,14.696850244542961,0.4757738411426544,1.738122645811302e-10,2.24609375,DeQA-Doc selector
compound_proxy,000005_jung_006_v00,classical_shadow_0.55,21.288183541681516,0.9664180278778076,0.10319517965464575,2.994140625,DeQA-Doc selector
compound_proxy,000005_jung_006_v01,input,23.128856299981784,0.7458389401435852,8.376769278228836e-11,2.798828125,DeQA-Doc selector
compound_proxy,000013_jung_014_v00,docres_binarization,12.398041678161027,0.39004403352737427,0.691450993712377,4.2890625,DeQA-Doc selector
compound_proxy,000013_jung_014_v01,input,12.556807121434144,0.8876048922538757,8.298911557957922e-12,2.9375,DeQA-Doc selector
compound_proxy,000016_jung_017_v00,docres_binarization,13.748966931248425,0.5529145002365112,0.6710767279609654,4.265625,DeQA-Doc selector
compound_proxy,000016_jung_017_v01,docres_appearance,20.209955120385395,0.937617838382721,0.4378687503285227,2.68359375,DeQA-Doc selector
compound_proxy,000023_jung_024_v00,docres_appearance,16.445974585075895,0.9341612458229065,0.33383949376662525,3.482421875,DeQA-Doc selector
compound_proxy,000023_jung_024_v01,input,14.587736879914747,0.6324447989463806,1.289658380088099e-11,3.126953125,DeQA-Doc selector
compound_proxy,000025_jung_026_v00,classical_shadow_0.55,17.12165779036259,0.7212628722190857,0.38047881228062774,3.103515625,DeQA-Doc selector
compound_proxy,000025_jung_026_v01,docres_appearance,16.116676679222596,0.9189420938491821,0.7023349967602878,3.09765625,DeQA-Doc selector
compound_proxy,000030_jung_031_v00,docres_binarization,14.609569208752735,0.7337793111801147,0.8308296535616678,4.25390625,DeQA-Doc selector
compound_proxy,000030_jung_031_v01,docres_classical040_blend_0.80,25.088804901890207,0.9891370534896851,0.38198385881982067,3.013671875,DeQA-Doc selector
compound_proxy,000031_jung_032_v00,classical_shadow_0.70,20.697365778609477,0.9834629893302917,0.24648130370010984,2.953125,DeQA-Doc selector
compound_proxy,000031_jung_032_v01,docres_appearance,18.607388419631533,0.9290671348571777,0.5154889407136265,2.994140625,DeQA-Doc selector
compound_proxy,000037_jung_038_v00,classical_shadow_0.40,14.64376528715432,0.5151898264884949,0.6004498875026397,2.1953125,DeQA-Doc selector
compound_proxy,000037_jung_038_v01,classical_shadow_0.25,15.93429238022589,0.7253088355064392,0.49995542441339896,2.669921875,DeQA-Doc selector
compound_proxy,000038_jung_039_v00,docres_appearance,19.98973581416919,0.9249622821807861,0.18941571572622634,2.921875,DeQA-Doc selector
compound_proxy,000038_jung_039_v01,docres_input_blend_0.70,22.973249434273896,0.7097942233085632,0.2284691166797015,2.802734375,DeQA-Doc selector
compound_proxy,000043_jung_044_v00,docres_binarization,14.02218452801764,0.5330193638801575,0.8055763441454697,4.25,DeQA-Doc selector
compound_proxy,000043_jung_044_v01,input,10.309659533191022,0.6059492230415344,0.45,2.34375,DeQA-Doc selector
compound_proxy,000046_jung_047_v00,input,19.846468502241922,0.5665767192840576,1.1213580064506345e-11,2.927734375,DeQA-Doc selector
compound_proxy,000046_jung_047_v01,input,21.115436810641807,0.5974705815315247,8.999999795422653e-09,2.6796875,DeQA-Doc selector
compound_proxy,000050_jung_051_v00,classical_shadow_0.25,16.52783130527954,0.9085131883621216,0.3677007727320982,2.9140625,DeQA-Doc selector
compound_proxy,000050_jung_051_v01,input,17.400681432148847,0.6850643157958984,2.3796934423003794e-10,2.25390625,DeQA-Doc selector
compound_proxy,000051_jung_052_v00,classical_shadow_0.40,18.447216706825113,0.5622367858886719,0.0824678957096193,2.779296875,DeQA-Doc selector
compound_proxy,000051_jung_052_v01,docres_binarization,14.169333614627844,0.6138602495193481,0.8975938825725546,3.375,DeQA-Doc selector
compound_proxy,000057_jung_058_v00,classical_shadow_0.40,18.31294317032545,0.5940095782279968,0.11869535060054241,2.87109375,DeQA-Doc selector
compound_proxy,000057_jung_058_v01,docres_binarization,13.475358129771703,0.6602646112442017,0.519318782112445,4.25,DeQA-Doc selector
jung,jung_020,docres_classical040_blend_0.90,22.37386231195973,0.933370053768158,0.18492561647972416,3.0546875,DeQA-Doc selector
jung,jung_029,docres_appearance,18.27160297560114,0.8265405893325806,0.32238612512809195,3.18359375,DeQA-Doc selector
jung,jung_003,docres_deshadow,24.90146317398998,0.9441502690315247,0.4090709381687542,2.982421875,DeQA-Doc selector
jung,jung_046,docres_appearance,18.165520861535967,0.9065423011779785,0.29012365235283955,3.1640625,DeQA-Doc selector
jung,jung_048,docres_appearance,17.97807373563459,0.9081689715385437,0.3660047264705612,3.0234375,DeQA-Doc selector
jung,jung_052,input,15.901095470950338,0.9278212785720825,1.0114659110271873e-11,2.8828125,DeQA-Doc selector
jung,jung_053,docres_appearance,17.694904846322967,0.8901000022888184,0.4456117979960328,3.15234375,DeQA-Doc selector
jung,jung_058,docres_appearance,17.140690341294487,0.9106720089912415,0.33419743907323174,3.09765625,DeQA-Doc selector
jung,jung_061,docres_appearance,17.13219898725952,0.8962484002113342,0.3728821979067236,3.498046875,DeQA-Doc selector
jung,jung_063,classical_shadow_0.55,20.197682464466165,0.8967881798744202,0.2332243567523214,2.953125,DeQA-Doc selector
