model,cv_psnr,cv_psnr_std,cv_ssim,cv_vccrp
GBDT evidence,23.791388938208367,2.109253318526697,0.8385412432177078,0.3581404775394418
GBDT prior,23.8551516594207,2.0498153383890823,0.8398505325746368,0.35665909364848
RF evidence,24.260095953911804,1.905628797561063,0.8413248035901736,0.332679603714915
RF prior,24.220692725617464,2.0519049361811343,0.8413467512262744,0.3325177317646829
ExtraTrees evidence,24.42946088532112,1.786638071632537,0.8441082992070401,0.32709355393658235
ExtraTrees prior,24.408559492268573,1.8368842350719616,0.8455819097413034,0.3324341232960325
kNN evidence,24.269163515029135,1.7380092448100408,0.8443482917347984,0.33483593947960566
