method,n,psnr,ssim,vccrp,selected_counts,seed,uses_prior
MLP prior seed0,113,25.202505041356293,0.8892026588452601,0.36769230791957946,"[[""docres_classical040_blend_0.95"", 16], [""docres_classical040_blend_0.70"", 14], [""docres_classical040_blend_0.85"", 13], [""docres_classical040_blend_0.80"", 12], [""docres_input_blend_0.95"", 11], [""classical_shadow_0.40"", 10], [""docres_input_blend_0.70"", 6], [""docres_deshadow"", 5], [""classical_shadow_0.55"", 4], [""classical_shadow_0.70"", 4], [""input"", 4], [""classical_shadow_0.25"", 4], [""docres_binarization"", 3], [""docres_input_blend_0.85"", 2], [""docres_classical040_blend_0.90"", 2], [""binary_input_blend_0.90"", 1], [""binary_docres_blend_0.75"", 1], [""binary_docres_blend_0.90"", 1]]",0,True
MLP prior seed1,113,25.312689365797,0.8899362551427521,0.3526024982648938,"[[""docres_classical040_blend_0.95"", 19], [""docres_classical040_blend_0.80"", 13], [""docres_classical040_blend_0.70"", 12], [""docres_deshadow"", 12], [""docres_input_blend_0.95"", 10], [""classical_shadow_0.40"", 9], [""input"", 7], [""docres_classical040_blend_0.85"", 7], [""docres_input_blend_0.70"", 5], [""docres_binarization"", 4], [""docres_classical040_blend_0.90"", 3], [""classical_shadow_0.70"", 2], [""classical_shadow_0.25"", 2], [""classical_shadow_0.55"", 2], [""binary_input_blend_0.75"", 2], [""docres_input_blend_0.90"", 2], [""docres_appearance"", 1], [""docres_input_blend_0.85"", 1]]",1,True
MLP prior seed2,113,25.26210050537382,0.8888352966941564,0.3627431587641002,"[[""docres_classical040_blend_0.70"", 20], [""docres_classical040_blend_0.95"", 18], [""docres_deshadow"", 16], [""docres_classical040_blend_0.85"", 10], [""docres_classical040_blend_0.80"", 9], [""classical_shadow_0.70"", 6], [""classical_shadow_0.40"", 6], [""classical_shadow_0.25"", 4], [""classical_shadow_0.55"", 4], [""docres_input_blend_0.95"", 4], [""docres_classical040_blend_0.90"", 4], [""input"", 3], [""docres_binarization"", 2], [""docres_input_blend_0.80"", 2], [""docres_input_blend_0.70"", 2], [""docres_input_blend_0.90"", 1], [""binary_docres_blend_0.90"", 1], [""binary_input_blend_0.90"", 1]]",2,True
MLP prior seed3,113,25.043928434610372,0.8906646684735222,0.36936569650145246,"[[""docres_classical040_blend_0.95"", 21], [""docres_classical040_blend_0.70"", 13], [""classical_shadow_0.40"", 12], [""docres_classical040_blend_0.85"", 11], [""docres_input_blend_0.95"", 9], [""docres_deshadow"", 8], [""docres_classical040_blend_0.90"", 8], [""docres_classical040_blend_0.80"", 6], [""input"", 5], [""classical_shadow_0.25"", 3], [""binary_docres_blend_0.90"", 3], [""classical_shadow_0.70"", 3], [""docres_input_blend_0.70"", 3], [""binary_input_blend_0.75"", 3], [""classical_shadow_0.55"", 2], [""binary_input_blend_0.90"", 1], [""docres_binarization"", 1], [""docres_input_blend_0.80"", 1]]",3,True
MLP prior seed4,113,25.286681522717675,0.8884058146350151,0.36513409015242115,"[[""docres_classical040_blend_0.95"", 19], [""docres_classical040_blend_0.80"", 14], [""docres_classical040_blend_0.70"", 12], [""docres_input_blend_0.95"", 10], [""docres_deshadow"", 9], [""docres_input_blend_0.70"", 7], [""docres_classical040_blend_0.85"", 7], [""docres_classical040_blend_0.90"", 7], [""classical_shadow_0.70"", 6], [""classical_shadow_0.40"", 5], [""classical_shadow_0.25"", 4], [""classical_shadow_0.55"", 4], [""input"", 3], [""binary_docres_blend_0.90"", 2], [""binary_docres_blend_0.75"", 1], [""docres_binarization"", 1], [""binary_input_blend_0.90"", 1], [""docres_input_blend_0.90"", 1]]",4,True
MLP prior seed5,113,25.058263823111435,0.8877626852651613,0.35629886103641734,"[[""docres_classical040_blend_0.95"", 25], [""docres_deshadow"", 18], [""classical_shadow_0.40"", 9], [""docres_classical040_blend_0.80"", 7], [""docres_input_blend_0.70"", 6], [""classical_shadow_0.25"", 6], [""docres_classical040_blend_0.70"", 6], [""docres_input_blend_0.95"", 6], [""input"", 5], [""docres_classical040_blend_0.90"", 5], [""docres_classical040_blend_0.85"", 5], [""classical_shadow_0.55"", 4], [""classical_shadow_0.70"", 2], [""docres_binarization"", 2], [""binary_docres_blend_0.90"", 1], [""docres_appearance"", 1], [""binary_input_blend_0.75"", 1], [""binary_docres_blend_0.75"", 1], [""docres_input_blend_0.80"", 1], [""docres_input_blend_0.85"", 1], [""docres_input_blend_0.90"", 1]]",5,True
MLP prior seed6,113,25.20285000625522,0.8881389348380333,0.3617370558872424,"[[""docres_classical040_blend_0.95"", 26], [""docres_deshadow"", 20], [""docres_classical040_blend_0.85"", 11], [""docres_input_blend_0.70"", 8], [""classical_shadow_0.40"", 7], [""classical_shadow_0.25"", 7], [""docres_classical040_blend_0.70"", 7], [""classical_shadow_0.70"", 5], [""docres_classical040_blend_0.90"", 5], [""docres_input_blend_0.95"", 4], [""classical_shadow_0.55"", 3], [""input"", 3], [""docres_classical040_blend_0.80"", 3], [""binary_input_blend_0.75"", 2], [""binary_docres_blend_0.75"", 1], [""docres_binarization"", 1]]",6,True
MLP prior seed7,113,25.210124093889373,0.888441985423586,0.3577971970072767,"[[""docres_deshadow"", 25], [""docres_classical040_blend_0.70"", 14], [""docres_classical040_blend_0.95"", 14], [""docres_input_blend_0.95"", 8], [""classical_shadow_0.40"", 7], [""docres_classical040_blend_0.85"", 7], [""docres_classical040_blend_0.80"", 7], [""docres_input_blend_0.70"", 6], [""input"", 4], [""classical_shadow_0.25"", 4], [""classical_shadow_0.55"", 4], [""classical_shadow_0.70"", 3], [""docres_classical040_blend_0.90"", 3], [""docres_binarization"", 2], [""docres_appearance"", 1], [""binary_docres_blend_0.90"", 1], [""binary_input_blend_0.75"", 1], [""docres_input_blend_0.85"", 1], [""docres_input_blend_0.90"", 1]]",7,True
MLP prior seed8,113,25.111989637625015,0.8872579330891635,0.3629523113180974,"[[""docres_input_blend_0.95"", 15], [""docres_classical040_blend_0.95"", 15], [""docres_classical040_blend_0.70"", 14], [""docres_classical040_blend_0.80"", 9], [""docres_classical040_blend_0.90"", 9], [""docres_deshadow"", 8], [""docres_input_blend_0.70"", 7], [""docres_classical040_blend_0.85"", 7], [""classical_shadow_0.70"", 5], [""classical_shadow_0.25"", 4], [""input"", 4], [""classical_shadow_0.40"", 4], [""binary_input_blend_0.90"", 3], [""classical_shadow_0.55"", 3], [""docres_input_blend_0.90"", 3], [""docres_binarization"", 2], [""docres_input_blend_0.80"", 1]]",8,True
MLP prior seed9,113,25.12969937263435,0.8886923048876029,0.3628409478317053,"[[""docres_classical040_blend_0.95"", 18], [""docres_deshadow"", 16], [""docres_classical040_blend_0.90"", 11], [""classical_shadow_0.40"", 9], [""docres_input_blend_0.95"", 9], [""docres_classical040_blend_0.85"", 9], [""docres_classical040_blend_0.70"", 8], [""docres_classical040_blend_0.80"", 8], [""docres_input_blend_0.70"", 6], [""input"", 5], [""classical_shadow_0.70"", 3], [""classical_shadow_0.25"", 2], [""classical_shadow_0.55"", 2], [""binary_docres_blend_0.90"", 2], [""docres_input_blend_0.80"", 1], [""docres_binarization"", 1], [""binary_input_blend_0.90"", 1], [""binary_input_blend_0.75"", 1], [""docres_input_blend_0.90"", 1]]",9,True
