method,n,psnr,ssim,vccrp
Input,113,15.53967461666086,0.8286340228751697,0.0079646019589008
Classical shadow-0.40,113,20.093066838242414,0.867585315904786,0.273182945403956
DocRes deshadow,113,24.11261542567116,0.8802506588729082,0.3606683897912798
Best fixed blend (DocRes-classical 0.85),113,24.5760488488534,0.882193183476946,0.3647958605663326
Evidence-only HistRestore,113,24.682490064671523,0.8809181164323756,0.3684055240464616
Direct structured review,113,25.006401586467437,0.8881767481829212,0.3708262957293851
PSNR oracle,113,26.08843211328109,0.8966451885953414,0.351312952944781
