source,n,direct_review_psnr,docres_psnr,delta_psnr,direct_review_ssim,docres_ssim,direct_review_vccrp,docres_vccrp
compound_proxy,30,20.235247284243933,19.623726736605967,0.6115205476379654,0.7256503601868948,0.7316875249147415,0.379883920251689,0.3503519216367336
dibco18,3,19.51306364867602,11.418642886939635,8.094420761736385,0.8963972528775533,0.6991776823997498,0.3102633023196167,0.07451128788534407
dibco19,1,20.04625135336162,14.639341722262936,5.406909631098683,0.9343979358673096,0.6597001552581787,0.420772682008986,0.0330791619173569
jung,15,23.5997726339566,23.235560391582954,0.36421224237365024,0.9350415627161662,0.9336969097455342,0.2552126150783906,0.2624563949050163
kligler,64,27.907561389605668,27.165391636653688,0.7421697529519784,0.9522695094347,0.9492970602586865,0.3957359686675961,0.4070548663775621
